Date,Electric_usage,Avg_Temp
9/2/2020,8.89,86
9/3/2020,8.42,92
9/4/2020,4.62,83
9/5/2020,9.32,91
9/6/2020,8.97,94
9/7/2020,10.9,94
9/8/2020,8.56,88
9/9/2020,5.7,82
9/10/2020,3.7,68
9/11/2020,3.82,84
9/12/2020,4.9,92
9/13/2020,12.47,93
9/14/2020,8.51,90
9/15/2020,11.93,91
9/16/2020,7.02,92
9/17/2020,8.75,86
9/18/2020,10.48,88
9/19/2020,6.47,84
9/20/2020,7.07,85
9/21/2020,5.27,73
9/22/2020,4.87,75
9/23/2020,5.45,76
9/24/2020,7.06,79
9/25/2020,7.25,86
9/26/2020,9,89
9/27/2020,10.08,92
9/28/2020,4.6,81
9/29/2020,4.1,83
9/30/2020,3.96,87
10/1/2020,4.21,91
10/2/2020,5.57,83
10/3/2020,7.72,86
10/4/2020,6.74,87
10/5/2020,6.54,86
10/6/2020,6.68,88
10/7/2020,4.39,90
10/8/2020,5.21,87
10/9/2020,7.9,88
10/10/2020,6.14,95
10/11/2020,9.71,96
10/12/2020,6.97,87
10/13/2020,5.63,88
10/14/2020,6.9,91
10/15/2020,7.73,87
10/16/2020,4.78,77
10/17/2020,2.56,81
10/18/2020,7.56,91
10/19/2020,6.77,92
10/20/2020,8.52,91
10/21/2020,8.38,90
10/22/2020,9.18,90
10/23/2020,4.37,84
10/24/2020,2.16,66
10/25/2020,3.21,85
10/26/2020,3.64,79
10/27/2020,2.59,45
10/28/2020,2.98,62
10/29/2020,2.33,64
10/30/2020,3,72
10/31/2020,2.84,78
11/1/2020,1.21,79
11/2/2020,1.34,77
11/3/2020,1.09,80
11/4/2020,1.31,81
11/5/2020,1.27,81
11/6/2020,1.47,79
11/7/2020,1.4,81
11/8/2020,1.64,83
11/9/2020,3.11,85
11/10/2020,2.54,82
11/11/2020,5.43,83
11/12/2020,5.95,84
11/13/2020,4.17,84
11/14/2020,10.79,88
11/15/2020,4.69,73
11/16/2020,2.34,76
11/17/2020,3.27,76
11/18/2020,3.16,80
11/19/2020,3.18,83
11/20/2020,5.42,83
11/21/2020,2.23,80
11/22/2020,3.72,82
11/23/2020,3.04,68
11/24/2020,5.32,85
11/25/2020,2.65,73
11/26/2020,1.93,77
11/27/2020,3.53,71
11/28/2020,2.55,61
11/29/2020,3.75,57
11/30/2020,4.07,57
12/1/2020,2.89,64
12/2/2020,0.93,66
12/3/2020,0.85,58
12/4/2020,0.96,59
12/5/2020,0.79,54
12/6/2020,2.82,67
12/7/2020,3.24,71
12/8/2020,2.44,79
12/9/2020,3.37,82
12/10/2020,3.68,80
12/11/2020,3.32,77
12/12/2020,5.67,63
12/13/2020,3.64,68
12/14/2020,2.28,51
12/15/2020,3.74,61
12/16/2020,3.12,55
12/17/2020,3.93,64
12/18/2020,3.57,65
12/19/2020,1.95,68
12/20/2020,4.22,70
12/21/2020,1.24,76
12/22/2020,0.99,74
12/23/2020,1.34,79
12/24/2020,0.94,57
12/25/2020,1,69
12/26/2020,0.89,70
12/27/2020,0.99,77
12/28/2020,1.3,77
12/29/2020,1.23,77
12/30/2020,1.37,73
12/31/2020,0.85,45
